subject,sex,age,condition,manipcheck,pity.target,envy.target,pityAD,pityC,envyAD,envyC
379,female,31,Aptitude EnvyC,Aptitude,4,5,NA,NA,NA,1
380,male,30,Attitude Baseline,Attitude,2,7,NA,NA,NA,NA
381,female,61,Attitude EnvyC,Aptitude,6,5,NA,NA,NA,1
382,male,35,Aptitude PityAD,Aptitude,6,7,3,NA,NA,NA
383,female,30,Attitude EnvyAD,Aptitude,6,6,NA,NA,3,NA
384,female,45,Aptitude PityC,Aptitude,5,7,NA,2,NA,NA
385,male,21,Attitude EnvyAD,Attitude,7,5,NA,NA,4,NA
386,male,27,Attitude EnvyC,Attitude,4,5,NA,NA,NA,2
387,male,31,Attitude PityC,Attitude,6,5,NA,3,NA,NA
388,female,22,Attitude PityAD,Attitude,6,5,7,NA,NA,NA
389,female,24,Attitude Baseline,Attitude,5,5,NA,NA,NA,NA
390,male,30,Aptitude EnvyAD,Aptitude,2,7,NA,NA,5,NA
391,female,29,Aptitude Baseline,Aptitude,6,6,NA,NA,NA,NA
392,female,66,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,7
393,female,29,Attitude EnvyAD,Attitude,5,6,NA,NA,2,NA
394,female,37,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
395,female,59,Attitude EnvyC,Attitude,5,6,NA,NA,NA,3
396,male,27,Attitude PityC,Aptitude,7,5,NA,5,NA,NA
397,female,22,Attitude PityAD,Attitude,7,5,5,NA,NA,NA
398,female,23,Aptitude PityAD,Aptitude,3,6,3,NA,NA,NA
399,female,42,Aptitude PityC,Aptitude,7,5,NA,1,NA,NA
400,male,27,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
401,male,25,Aptitude EnvyC,Attitude,6,7,NA,NA,NA,4
402,female,31,Aptitude EnvyAD,Aptitude,5,5,NA,NA,5,NA
403,male,22,Aptitude PityAD,Aptitude,3,5,2,NA,NA,NA
404,female,56,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,1
405,male,24,Attitude PityAD,Aptitude,5,6,3,NA,NA,NA
406,female,33,Aptitude Baseline,Aptitude,2,7,NA,NA,NA,NA
407,male,28,Attitude EnvyAD,Aptitude,7,6,NA,NA,4,NA
408,male,31,Attitude EnvyC,Attitude,6,5,NA,NA,NA,1
409,male,25,Attitude PityC,Aptitude,2,6,NA,1,NA,NA
410,female,42,Attitude Baseline,Attitude,7,6,NA,NA,NA,NA
411,male,69,Aptitude EnvyAD,Aptitude,3,7,NA,NA,4,NA
412,female,35,Aptitude PityC,Aptitude,6,6,NA,1,NA,NA
413,male,37,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,3
414,female,23,Aptitude PityAD,Attitude,6,6,5,NA,NA,NA
415,female,22,Attitude EnvyAD,Attitude,7,4,NA,NA,2,NA
416,male,19,Attitude Baseline,Aptitude,4,5,NA,NA,NA,NA
417,male,29,Aptitude Baseline,Aptitude,1,7,NA,NA,NA,NA
418,female,43,Aptitude EnvyAD,Aptitude,4,5,NA,NA,3,NA
419,male,29,Aptitude Baseline,Attitude,6,7,NA,NA,NA,NA
420,female,48,Attitude PityAD,Aptitude,7,5,3,NA,NA,NA
421,female,47,Aptitude EnvyAD,Aptitude,6,6,NA,NA,6,NA
422,male,24,Attitude EnvyC,Aptitude,4,4,NA,NA,NA,4
423,male,33,Attitude PityC,Attitude,6,3,NA,1,NA,NA
424,female,29,Aptitude PityC,Aptitude,7,4,NA,2,NA,NA
425,female,44,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,2
426,female,46,Aptitude PityAD,Aptitude,7,7,6,NA,NA,NA
427,female,25,Attitude PityAD,Attitude,7,6,7,NA,NA,NA
428,male,45,Attitude EnvyAD,Aptitude,7,6,NA,NA,5,NA
429,male,19,Attitude EnvyC,Aptitude,3,7,NA,NA,NA,6
430,female,35,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
431,female,48,Attitude PityAD,Aptitude,6,4,3,NA,NA,NA
432,female,21,Aptitude Baseline,Aptitude,7,6,NA,NA,NA,NA
433,female,37,Attitude Baseline,Attitude,4,4,NA,NA,NA,NA
434,male,30,Attitude PityC,Aptitude,6,7,NA,4,NA,NA
435,female,27,Aptitude PityAD,Attitude,5,6,2,NA,NA,NA
436,female,40,Aptitude PityC,Attitude,7,4,NA,7,NA,NA
437,female,23,Aptitude EnvyC,Aptitude,1,6,NA,NA,NA,5
438,male,55,Attitude EnvyAD,Aptitude,3,6,NA,NA,3,NA
439,male,27,Aptitude EnvyAD,Aptitude,5,5,NA,NA,5,NA
440,male,25,Aptitude PityAD,Attitude,6,5,6,NA,NA,NA
441,male,23,Attitude EnvyAD,Aptitude,3,6,NA,NA,5,NA
442,female,44,Attitude PityC,Attitude,6,4,NA,7,NA,NA
443,female,24,Aptitude PityAD,Aptitude,3,6,3,NA,NA,NA
444,male,20,Attitude PityAD,Attitude,6,7,4,NA,NA,NA
445,female,29,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,6
446,female,51,Aptitude EnvyAD,Aptitude,4,6,NA,NA,6,NA
447,male,35,Aptitude PityC,Aptitude,5,5,NA,1,NA,NA
448,female,26,Attitude Baseline,Attitude,6,3,NA,NA,NA,NA
449,female,32,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
450,female,NA,Attitude Baseline,Attitude,6,6,NA,NA,NA,NA
451,male,22,Aptitude PityC,Aptitude,6,5,NA,3,NA,NA
452,female,30,Attitude PityAD,Attitude,6,5,6,NA,NA,NA
453,male,21,Aptitude EnvyAD,Aptitude,4,6,NA,NA,7,NA
454,male,63,Aptitude EnvyC,Attitude,6,7,NA,NA,NA,5
455,female,28,Aptitude PityAD,Aptitude,5,7,3,NA,NA,NA
456,female,26,Attitude EnvyC,Attitude,6,7,NA,NA,NA,3
457,male,56,Attitude EnvyAD,Aptitude,2,6,NA,NA,4,NA
458,female,24,Aptitude Baseline,Aptitude,6,7,NA,NA,NA,NA
459,female,63,Attitude PityC,Aptitude,6,5,NA,7,NA,NA
460,male,24,Attitude EnvyAD,Attitude,6,4,NA,NA,6,NA
461,male,35,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
462,male,24,Aptitude EnvyC,Aptitude,6,4,NA,NA,NA,2
463,female,23,Attitude PityC,Attitude,6,5,NA,3,NA,NA
464,male,24,Attitude EnvyC,Attitude,5,6,NA,NA,NA,3
465,female,66,Aptitude EnvyAD,Aptitude,3,6,NA,NA,5,NA
466,female,47,Attitude PityAD,Attitude,5,7,3,NA,NA,NA
467,male,34,Aptitude PityAD,Aptitude,7,6,3,NA,NA,NA
468,female,30,Attitude Baseline,Aptitude,5,5,NA,NA,NA,NA
469,male,30,Aptitude PityC,Aptitude,6,5,NA,3,NA,NA
470,male,28,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
471,male,26,Attitude EnvyAD,Attitude,7,3,NA,NA,3,NA
472,female,32,Attitude Baseline,Attitude,5,3,NA,NA,NA,NA
473,female,24,Attitude PityAD,Attitude,6,5,7,NA,NA,NA
474,male,28,Aptitude EnvyAD,Aptitude,7,4,NA,NA,5,NA
475,female,53,Attitude EnvyC,Attitude,7,5,NA,NA,NA,1
476,male,41,Aptitude PityAD,Aptitude,6,5,2,NA,NA,NA
477,female,34,Aptitude PityC,Aptitude,5,6,NA,1,NA,NA
478,male,28,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,5
479,female,46,Aptitude EnvyC,Aptitude,2,6,NA,NA,NA,5
480,female,23,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
481,male,27,Attitude PityC,Attitude,4,6,NA,2,NA,NA
482,female,37,Attitude Baseline,Attitude,5,4,NA,NA,NA,NA
483,male,39,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
484,female,26,Attitude EnvyAD,Aptitude,6,6,NA,NA,6,NA
485,female,43,Attitude PityAD,Aptitude,7,3,6,NA,NA,NA
486,female,29,Attitude EnvyC,Aptitude,6,4,NA,NA,NA,2
487,female,32,Aptitude EnvyAD,Aptitude,5,7,NA,NA,5,NA
488,male,19,Aptitude PityAD,Aptitude,7,5,3,NA,NA,NA
489,female,46,Aptitude PityAD,Aptitude,6,4,7,NA,NA,NA
490,female,19,Attitude PityC,Aptitude,7,6,NA,3,NA,NA
491,male,45,Attitude PityAD,Attitude,6,7,2,NA,NA,NA
492,female,32,Attitude Baseline,Aptitude,7,7,NA,NA,NA,NA
493,female,50,Attitude EnvyAD,Aptitude,4,3,NA,NA,6,NA
494,female,34,Aptitude EnvyAD,Aptitude,5,6,NA,NA,5,NA
495,female,24,Aptitude Baseline,Attitude,6,3,NA,NA,NA,NA
496,male,26,Attitude EnvyC,Attitude,7,5,NA,NA,NA,2
497,female,28,Aptitude EnvyC,Aptitude,4,5,NA,NA,NA,7
498,female,43,Aptitude PityC,Aptitude,6,4,NA,2,NA,NA
499,male,28,Attitude EnvyAD,Aptitude,4,6,NA,NA,5,NA
500,male,33,Aptitude PityC,Aptitude,6,5,NA,2,NA,NA
501,male,34,Attitude Baseline,Attitude,1,6,NA,NA,NA,NA
502,male,25,Attitude PityC,Attitude,4,4,NA,3,NA,NA
503,male,31,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
504,female,36,Attitude EnvyC,Attitude,6,4,NA,NA,NA,2
505,female,48,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,7
506,male,28,Aptitude PityAD,Aptitude,6,5,5,NA,NA,NA
507,female,63,Aptitude EnvyAD,Aptitude,4,6,NA,NA,5,NA
508,female,30,Attitude Baseline,Attitude,4,5,NA,NA,NA,NA
509,female,39,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
510,male,29,Attitude PityC,Attitude,6,4,NA,1,NA,NA
511,male,25,Attitude EnvyC,Attitude,6,5,NA,NA,NA,2
512,male,42,Aptitude EnvyC,Aptitude,4,7,NA,NA,NA,1
513,male,28,Aptitude PityC,Aptitude,7,5,NA,6,NA,NA
514,male,27,Aptitude EnvyAD,Aptitude,5,7,NA,NA,3,NA
515,male,38,Attitude EnvyAD,Aptitude,7,7,NA,NA,5,NA
516,female,28,Attitude EnvyAD,Attitude,5,6,NA,NA,5,NA
517,female,40,Attitude PityAD,Aptitude,5,7,1,NA,NA,NA
518,male,36,Attitude PityC,Aptitude,5,5,NA,3,NA,NA
519,female,28,Attitude PityAD,Aptitude,5,7,3,NA,NA,NA
520,female,30,Aptitude EnvyAD,Aptitude,4,6,NA,NA,6,NA
521,male,70,Aptitude PityAD,Aptitude,3,6,2,NA,NA,NA
522,female,35,Aptitude PityC,Aptitude,6,7,NA,2,NA,NA
523,male,34,Aptitude EnvyC,Aptitude,5,5,NA,NA,NA,4
524,male,33,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
525,male,28,Attitude Baseline,Aptitude,6,7,NA,NA,NA,NA
526,female,32,Attitude EnvyC,Attitude,7,4,NA,NA,NA,1
527,female,20,Attitude PityC,Attitude,6,3,NA,2,NA,NA
528,male,49,Aptitude EnvyAD,Aptitude,3,5,NA,NA,5,NA
529,male,18,Attitude PityAD,Attitude,7,5,5,NA,NA,NA
530,female,19,Aptitude PityC,Aptitude,6,6,NA,3,NA,NA
531,female,46,Attitude EnvyAD,Aptitude,7,6,NA,NA,5,NA
532,female,28,Attitude EnvyC,Attitude,5,5,NA,NA,NA,2
533,male,32,Aptitude EnvyC,Aptitude,3,5,NA,NA,NA,5
534,female,58,Aptitude Baseline,Attitude,5,5,NA,NA,NA,NA
535,male,32,Aptitude PityAD,Aptitude,5,6,4,NA,NA,NA
536,male,31,Attitude Baseline,Attitude,5,6,NA,NA,NA,NA
537,male,31,Aptitude PityAD,Aptitude,5,6,5,NA,NA,NA
538,male,26,Attitude Baseline,Attitude,5,5,NA,NA,NA,NA
539,male,26,Aptitude PityC,Attitude,7,6,NA,1,NA,NA
540,male,28,Attitude EnvyC,Attitude,7,3,NA,NA,NA,1
541,female,25,Attitude PityC,Aptitude,5,6,NA,2,NA,NA
542,female,23,Attitude EnvyAD,Aptitude,5,5,NA,NA,5,NA
543,female,23,Aptitude Baseline,Aptitude,6,5,NA,NA,NA,NA
544,male,29,Aptitude EnvyC,Aptitude,2,6,NA,NA,NA,5
545,male,52,Aptitude EnvyAD,Aptitude,3,6,NA,NA,3,NA
546,female,22,Aptitude PityAD,Aptitude,7,6,3,NA,NA,NA
547,female,18,Attitude PityAD,Attitude,7,5,6,NA,NA,NA
548,female,30,Attitude PityC,Aptitude,5,6,NA,2,NA,NA
549,male,19,Attitude EnvyAD,Aptitude,5,7,NA,NA,3,NA
550,male,27,Attitude Baseline,Attitude,5,3,NA,NA,NA,NA
551,female,33,Aptitude Baseline,Aptitude,7,3,NA,NA,NA,NA
552,female,56,Attitude PityAD,Attitude,7,2,3,NA,NA,NA
553,female,36,Aptitude EnvyAD,Aptitude,6,7,NA,NA,3,NA
554,male,32,Aptitude PityC,Aptitude,3,7,NA,2,NA,NA
555,female,46,Aptitude EnvyAD,Aptitude,4,7,NA,NA,6,NA
556,male,31,Aptitude PityAD,Attitude,6,5,5,NA,NA,NA
557,female,41,Attitude PityAD,Attitude,7,4,6,NA,NA,NA
558,male,32,Attitude PityC,Aptitude,7,7,NA,3,NA,NA
559,female,31,Aptitude Baseline,Attitude,5,3,NA,NA,NA,NA
560,male,51,Attitude EnvyAD,Attitude,1,5,NA,NA,7,NA
561,female,28,Attitude Baseline,Aptitude,5,7,NA,NA,NA,NA
562,male,28,Aptitude EnvyC,Aptitude,4,6,NA,NA,NA,3
563,female,54,Aptitude PityC,Aptitude,7,3,NA,6,NA,NA
564,male,73,Attitude EnvyC,Aptitude,4,5,NA,NA,NA,7
565,male,26,Aptitude EnvyAD,Aptitude,7,7,NA,NA,6,NA
566,female,30,Attitude Baseline,Aptitude,4,4,NA,NA,NA,NA
567,female,38,Aptitude PityAD,Aptitude,6,4,5,NA,NA,NA
568,female,29,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
569,male,24,Attitude PityAD,Attitude,7,3,5,NA,NA,NA
570,female,59,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,2
571,female,23,Attitude PityC,Attitude,6,3,NA,3,NA,NA
572,male,24,Attitude EnvyAD,Aptitude,7,5,NA,NA,4,NA
573,female,NA,Aptitude Baseline,Aptitude,6,7,NA,NA,NA,NA
574,female,24,Aptitude EnvyAD,Aptitude,5,7,NA,NA,4,NA
575,female,59,Aptitude EnvyC,Aptitude,3,7,NA,NA,NA,3
576,male,27,Attitude PityC,Attitude,3,6,NA,1,NA,NA
577,female,35,Attitude EnvyC,Aptitude,3,7,NA,NA,NA,4
578,female,26,Aptitude PityAD,Aptitude,5,7,3,NA,NA,NA
579,female,38,Aptitude PityC,Aptitude,5,4,NA,1,NA,NA
580,female,38,Attitude EnvyAD,Aptitude,3,5,NA,NA,4,NA
581,male,29,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
582,male,29,Attitude PityAD,Attitude,7,7,5,NA,NA,NA
583,female,23,Attitude EnvyAD,Attitude,7,4,NA,NA,1,NA
584,female,21,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
585,male,43,Aptitude PityC,Aptitude,5,6,NA,3,NA,NA
586,female,27,Aptitude EnvyAD,Aptitude,4,6,NA,NA,2,NA
587,female,27,Attitude EnvyC,Aptitude,7,6,NA,NA,NA,2
588,male,24,Attitude PityAD,Attitude,7,4,5,NA,NA,NA
589,male,22,Aptitude EnvyC,Aptitude,5,7,NA,NA,NA,3
590,male,58,Attitude PityC,Attitude,6,3,NA,4,NA,NA
591,female,40,Aptitude PityAD,Attitude,7,5,2,NA,NA,NA
592,male,52,Aptitude EnvyC,Aptitude,6,7,NA,NA,NA,6
593,male,53,Aptitude EnvyAD,Aptitude,7,7,NA,NA,5,NA
594,female,23,Attitude PityAD,Aptitude,6,3,4,NA,NA,NA
595,female,25,Attitude Baseline,Aptitude,5,6,NA,NA,NA,NA
596,female,34,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
597,male,66,Aptitude PityAD,Aptitude,6,7,2,NA,NA,NA
598,female,23,Attitude EnvyC,Aptitude,4,6,NA,NA,NA,7
599,male,20,Attitude EnvyAD,Aptitude,7,5,NA,NA,2,NA
600,male,46,Aptitude PityC,Aptitude,4,6,NA,2,NA,NA
601,male,51,Attitude PityC,Attitude,6,1,NA,7,NA,NA
602,female,31,Attitude EnvyC,Aptitude,3,5,NA,NA,NA,4
603,female,24,Aptitude EnvyAD,Attitude,6,3,NA,NA,5,NA
604,male,48,Aptitude PityAD,Aptitude,6,5,5,NA,NA,NA
605,female,22,Aptitude PityC,Aptitude,5,7,NA,1,NA,NA
606,female,30,Attitude EnvyAD,Attitude,6,7,NA,NA,3,NA
607,female,36,Aptitude Baseline,Aptitude,6,6,NA,NA,NA,NA
608,female,25,Attitude Baseline,Attitude,6,5,NA,NA,NA,NA
609,female,64,Attitude PityAD,Aptitude,5,6,3,NA,NA,NA
610,male,25,Attitude PityC,Attitude,7,5,NA,3,NA,NA
611,male,30,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,7
612,male,23,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
613,male,29,Aptitude EnvyAD,Attitude,5,6,NA,NA,4,NA
614,female,48,Attitude EnvyAD,Attitude,6,6,NA,NA,5,NA
615,female,21,Aptitude PityC,Attitude,7,4,NA,7,NA,NA
616,female,36,Aptitude EnvyC,Aptitude,3,6,NA,NA,NA,5
617,male,34,Attitude EnvyC,Attitude,5,6,NA,NA,NA,3
618,male,26,Attitude PityAD,Aptitude,2,6,1,NA,NA,NA
619,female,66,Attitude PityC,Aptitude,5,6,NA,2,NA,NA
620,female,46,Attitude Baseline,Aptitude,6,5,NA,NA,NA,NA
621,female,32,Aptitude Baseline,Aptitude,5,7,NA,NA,NA,NA
622,male,44,Aptitude EnvyAD,Aptitude,5,6,NA,NA,3,NA
623,female,50,Aptitude PityAD,Attitude,6,5,3,NA,NA,NA
624,male,31,Attitude EnvyAD,Aptitude,4,6,NA,NA,6,NA
625,male,70,Attitude Baseline,Aptitude,5,7,NA,NA,NA,NA
626,female,54,Attitude PityC,Aptitude,6,6,NA,2,NA,NA
627,female,31,Attitude EnvyC,Aptitude,2,6,NA,NA,NA,3
628,female,27,Aptitude PityAD,Aptitude,5,7,4,NA,NA,NA
629,female,24,Attitude PityAD,Aptitude,5,5,3,NA,NA,NA
630,male,35,Aptitude PityC,Aptitude,5,6,NA,3,NA,NA
631,female,38,Attitude Baseline,Aptitude,5,4,NA,NA,NA,NA
632,male,34,Attitude EnvyAD,Attitude,5,5,NA,NA,5,NA
633,male,24,Attitude PityAD,Attitude,6,3,7,NA,NA,NA
634,male,26,Aptitude EnvyC,Aptitude,1,6,NA,NA,NA,6
635,female,28,Attitude EnvyC,Attitude,6,6,NA,NA,NA,2
636,female,22,Attitude PityC,Attitude,7,7,NA,5,NA,NA
637,female,37,Attitude PityAD,Attitude,6,5,6,NA,NA,NA
638,female,23,Aptitude Baseline,Aptitude,3,5,NA,NA,NA,NA
639,female,33,Aptitude PityAD,Attitude,6,5,3,NA,NA,NA
640,male,29,Attitude EnvyAD,Attitude,7,6,NA,NA,3,NA
641,female,35,Aptitude PityC,Attitude,7,7,NA,5,NA,NA
642,male,28,Attitude PityC,Attitude,6,4,NA,2,NA,NA
643,male,24,Aptitude PityC,Aptitude,5,6,NA,3,NA,NA
644,female,26,Aptitude EnvyAD,Attitude,7,5,NA,NA,3,NA
645,female,32,Attitude Baseline,Aptitude,6,5,NA,NA,NA,NA
646,female,30,Aptitude EnvyAD,Aptitude,5,6,NA,NA,5,NA
647,male,30,Aptitude PityAD,Aptitude,6,3,2,NA,NA,NA
648,male,29,Aptitude Baseline,Aptitude,5,5,NA,NA,NA,NA
649,male,27,Attitude EnvyC,Aptitude,6,7,NA,NA,NA,3
650,male,36,Attitude Baseline,Attitude,6,2,NA,NA,NA,NA
651,male,29,Attitude PityAD,Attitude,6,6,6,NA,NA,NA
652,female,36,Aptitude PityC,Aptitude,5,5,NA,3,NA,NA
653,female,28,Aptitude PityC,Aptitude,3,7,NA,1,NA,NA
654,male,37,Attitude EnvyAD,Attitude,7,3,NA,NA,1,NA
655,male,53,Attitude PityC,Aptitude,6,5,NA,5,NA,NA
656,male,30,Attitude EnvyC,Attitude,7,5,NA,NA,NA,4
657,female,27,Attitude PityC,Attitude,3,3,NA,7,NA,NA
658,male,31,Attitude Baseline,Attitude,4,5,NA,NA,NA,NA
659,female,61,Attitude PityAD,Attitude,6,3,5,NA,NA,NA
660,male,23,Aptitude PityAD,Aptitude,4,7,2,NA,NA,NA
661,male,39,Aptitude Baseline,Aptitude,2,6,NA,NA,NA,NA
662,male,26,Aptitude EnvyC,Aptitude,3,5,NA,NA,NA,4
663,male,29,Aptitude EnvyAD,Aptitude,5,7,NA,NA,7,NA
664,female,27,Aptitude PityAD,Aptitude,7,4,3,NA,NA,NA
665,male,23,Aptitude EnvyAD,Attitude,7,5,NA,NA,2,NA
666,female,54,Attitude PityAD,Aptitude,7,7,7,NA,NA,NA
667,female,32,Attitude EnvyC,Attitude,5,5,NA,NA,NA,3
668,male,28,Aptitude EnvyAD,Aptitude,3,6,NA,NA,5,NA
669,female,34,Aptitude EnvyC,Aptitude,3,5,NA,NA,NA,2
670,male,30,Attitude Baseline,Attitude,6,6,NA,NA,NA,NA
671,male,45,Attitude EnvyC,Aptitude,6,6,NA,NA,NA,5
672,male,30,Attitude EnvyAD,Attitude,5,6,NA,NA,3,NA
673,female,27,Aptitude Baseline,Attitude,4,5,NA,NA,NA,NA
674,male,28,Attitude PityAD,Attitude,5,3,5,NA,NA,NA
675,female,32,Attitude PityC,Attitude,6,7,NA,2,NA,NA
676,male,31,Aptitude PityC,Aptitude,4,7,NA,1,NA,NA
677,male,42,Attitude EnvyC,Aptitude,5,7,NA,NA,NA,1
678,female,31,Attitude EnvyAD,Attitude,7,5,NA,NA,3,NA
679,female,31,Attitude EnvyAD,Aptitude,7,5,NA,NA,6,NA
680,female,54,Aptitude EnvyC,Aptitude,2,5,NA,NA,NA,6
681,male,31,Attitude Baseline,Attitude,6,4,NA,NA,NA,NA
682,male,45,Aptitude EnvyAD,Aptitude,4,6,NA,NA,5,NA
683,male,27,Aptitude PityAD,Aptitude,3,7,5,NA,NA,NA
684,male,26,Aptitude PityAD,Attitude,5,6,7,NA,NA,NA
685,male,36,Attitude PityC,Aptitude,7,5,NA,1,NA,NA
686,female,30,Attitude EnvyAD,Attitude,5,5,NA,NA,6,NA
687,male,38,Aptitude EnvyC,Attitude,5,5,NA,NA,NA,6
688,female,67,Aptitude EnvyAD,Aptitude,5,7,NA,NA,6,NA
689,female,28,Aptitude Baseline,Attitude,7,6,NA,NA,NA,NA
690,male,29,Attitude PityAD,Attitude,7,3,5,NA,NA,NA
691,male,27,Attitude Baseline,Aptitude,6,6,NA,NA,NA,NA
692,female,26,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,1
693,prefer not to answer,21,Attitude EnvyAD,Aptitude,7,6,NA,NA,3,NA
694,female,31,Attitude PityAD,Attitude,6,4,4,NA,NA,NA
695,male,28,Attitude Baseline,Aptitude,5,7,NA,NA,NA,NA
696,female,37,Aptitude EnvyAD,Aptitude,5,7,NA,NA,3,NA
697,male,29,Aptitude PityAD,Aptitude,4,5,2,NA,NA,NA
698,male,27,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
699,male,32,Attitude Baseline,Attitude,6,2,NA,NA,NA,NA
700,female,25,Attitude PityC,Attitude,5,2,NA,6,NA,NA
701,male,39,Attitude EnvyAD,Attitude,7,5,NA,NA,2,NA
702,female,NA,Attitude EnvyC,Attitude,7,3,NA,NA,NA,2
703,male,21,Aptitude Baseline,Attitude,6,3,NA,NA,NA,NA
704,female,34,Aptitude PityC,Aptitude,4,6,NA,1,NA,NA
705,male,62,Aptitude PityC,Aptitude,7,5,NA,1,NA,NA
706,female,49,Aptitude EnvyC,Aptitude,5,6,NA,NA,NA,6
707,female,31,Aptitude PityC,Aptitude,7,7,NA,1,NA,NA
708,male,22,Attitude PityAD,Attitude,7,3,5,NA,NA,NA
709,male,25,Attitude EnvyAD,Attitude,7,5,NA,NA,3,NA
710,male,22,Attitude PityC,Aptitude,6,5,NA,2,NA,NA
711,female,30,Aptitude Baseline,Aptitude,3,5,NA,NA,NA,NA
712,female,28,Aptitude EnvyC,Attitude,7,7,NA,NA,NA,6
713,male,26,Attitude EnvyC,Aptitude,3,6,NA,NA,NA,3
714,female,26,Aptitude EnvyAD,Aptitude,6,7,NA,NA,5,NA
715,female,30,Aptitude Baseline,Aptitude,3,6,NA,NA,NA,NA
716,male,26,Aptitude PityC,Aptitude,5,6,NA,1,NA,NA
717,male,37,Attitude EnvyC,Attitude,7,5,NA,NA,NA,5
718,female,41,Attitude EnvyAD,Aptitude,7,6,NA,NA,6,NA
719,male,34,Aptitude EnvyC,Aptitude,7,6,NA,NA,NA,5
720,female,35,Attitude EnvyAD,Attitude,7,2,NA,NA,2,NA
721,male,29,Attitude Baseline,Aptitude,6,6,NA,NA,NA,NA
722,female,57,Aptitude PityAD,Aptitude,5,5,3,NA,NA,NA
723,female,23,Aptitude Baseline,Aptitude,6,3,NA,NA,NA,NA
724,male,28,Attitude PityC,Aptitude,5,5,NA,4,NA,NA
725,male,34,Aptitude EnvyAD,Attitude,7,5,NA,NA,3,NA
726,female,23,Attitude PityAD,Attitude,7,2,5,NA,NA,NA
727,male,25,Attitude PityC,Attitude,6,7,NA,3,NA,NA
728,female,33,Attitude Baseline,Aptitude,5,6,NA,NA,NA,NA
729,male,25,Aptitude EnvyC,Aptitude,6,7,NA,NA,NA,2
730,male,34,Attitude EnvyAD,Attitude,7,5,NA,NA,3,NA
731,male,33,Attitude Baseline,Attitude,2,6,NA,NA,NA,NA
732,male,40,Attitude EnvyC,Attitude,7,5,NA,NA,NA,2
733,male,27,Aptitude Baseline,Aptitude,4,7,NA,NA,NA,NA
734,female,29,Aptitude PityC,Aptitude,5,6,NA,2,NA,NA
735,male,27,Aptitude EnvyAD,Aptitude,3,7,NA,NA,6,NA
736,male,50,Attitude PityC,Attitude,4,7,NA,2,NA,NA
737,female,34,Attitude EnvyC,Attitude,7,5,NA,NA,NA,2
738,female,46,Aptitude PityAD,Attitude,7,5,5,NA,NA,NA
739,male,23,Attitude PityAD,Aptitude,6,5,7,NA,NA,NA
740,male,26,Aptitude PityAD,Aptitude,5,6,3,NA,NA,NA
741,male,29,Attitude PityC,Attitude,5,4,NA,7,NA,NA
742,female,56,Aptitude EnvyC,Aptitude,2,6,NA,NA,NA,6
743,male,27,Aptitude PityC,Aptitude,6,5,NA,2,NA,NA
744,male,32,Attitude EnvyC,Aptitude,7,7,NA,NA,NA,5
745,female,26,Aptitude EnvyC,Aptitude,6,6,NA,NA,NA,1
746,male,38,Attitude Baseline,Attitude,7,3,NA,NA,NA,NA
747,female,36,Attitude EnvyAD,Attitude,5,6,NA,NA,6,NA
748,male,34,Attitude PityAD,Aptitude,5,7,2,NA,NA,NA
749,male,26,Attitude PityC,Aptitude,7,7,NA,3,NA,NA
750,male,39,Aptitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
751,male,29,Attitude Baseline,Attitude,7,5,NA,NA,NA,NA
752,male,22,Aptitude EnvyAD,Attitude,3,6,NA,NA,6,NA
753,female,46,Aptitude Baseline,Aptitude,3,7,NA,NA,NA,NA
754,male,28,Aptitude EnvyAD,Aptitude,3,7,NA,NA,5,NA
755,female,25,Attitude EnvyAD,Attitude,7,5,NA,NA,3,NA
756,male,32,Attitude EnvyC,Attitude,5,5,NA,NA,NA,1
757,male,37,Aptitude Baseline,Aptitude,5,6,NA,NA,NA,NA
