subject,sex,age,condition,pity.target,envy.target,pityAD,pityC,envyAD,envyC
524,female,26,EnvyAD,6,5,NA,NA,3,NA
525,female,38,PityAD,7,6,5,NA,NA,NA
526,female,39,Baseline,4,4,NA,NA,NA,NA
527,male,39,PityC,6,7,NA,1,NA,NA
528,male,45,PityC,5,7,NA,4,NA,NA
529,female,20,EnvyC,7,6,NA,NA,NA,5
530,male,26,EnvyC,7,6,NA,NA,NA,5
531,male,35,EnvyAD,4,6,NA,NA,3,NA
532,female,30,PityAD,6,5,5,NA,NA,NA
533,other,27,Baseline,7,3,NA,NA,NA,NA
534,female,26,EnvyC,2,7,NA,NA,NA,2
535,female,34,Baseline,6,5,NA,NA,NA,NA
536,male,25,EnvyAD,5,6,NA,NA,7,NA
537,male,19,PityAD,6,7,5,NA,NA,NA
538,male,29,PityAD,5,7,6,NA,NA,NA
539,female,23,PityC,6,7,NA,1,NA,NA
540,female,57,EnvyC,4,6,NA,NA,NA,5
541,female,27,EnvyAD,5,7,NA,NA,6,NA
542,female,43,PityC,3,7,NA,1,NA,NA
543,female,32,Baseline,6,6,NA,NA,NA,NA
544,female,41,EnvyAD,6,7,NA,NA,5,NA
545,female,67,PityAD,6,5,6,NA,NA,NA
546,female,30,Baseline,7,7,NA,NA,NA,NA
547,male,20,PityC,5,5,NA,2,NA,NA
548,male,25,EnvyC,5,7,NA,NA,NA,2
549,female,29,EnvyC,5,6,NA,NA,NA,4
550,female,23,EnvyAD,7,6,NA,NA,1,NA
551,male,24,PityC,5,6,NA,3,NA,NA
552,female,26,Baseline,2,7,NA,NA,NA,NA
553,female,28,PityAD,6,6,6,NA,NA,NA
554,female,55,EnvyAD,3,7,NA,NA,4,NA
555,female,28,Baseline,4,6,NA,NA,NA,NA
556,male,30,PityAD,5,3,3,NA,NA,NA
557,female,51,PityC,6,7,NA,1,NA,NA
558,female,57,EnvyC,3,6,NA,NA,NA,2
559,male,26,EnvyAD,6,6,NA,NA,6,NA
560,male,30,PityAD,6,5,5,NA,NA,NA
561,female,24,PityC,5,6,NA,1,NA,NA
562,male,29,Baseline,7,5,NA,NA,NA,NA
563,male,25,EnvyC,5,5,NA,NA,NA,5
564,male,24,Baseline,5,6,NA,NA,NA,NA
565,female,38,EnvyC,2,7,NA,NA,NA,2
566,male,23,PityC,5,6,NA,2,NA,NA
567,male,29,EnvyAD,5,5,NA,NA,5,NA
568,female,27,EnvyAD,5,7,NA,NA,5,NA
569,female,44,PityAD,6,7,5,NA,NA,NA
570,male,34,Baseline,5,6,NA,NA,NA,NA
571,female,33,PityAD,3,6,5,NA,NA,NA
572,female,23,PityC,7,5,NA,3,NA,NA
573,female,32,PityC,7,6,NA,2,NA,NA
574,female,43,EnvyC,5,5,NA,NA,NA,6
575,male,29,PityAD,5,7,4,NA,NA,NA
576,female,,EnvyAD,5,6,NA,NA,5,NA
577,male,58,Baseline,6,6,NA,NA,NA,NA
578,female,38,EnvyAD,5,7,NA,NA,3,NA
579,female,50,Baseline,7,3,NA,NA,NA,NA
580,female,27,EnvyC,7,4,NA,NA,NA,5
581,female,29,PityC,5,6,NA,3,NA,NA
582,female,42,PityC,5,7,NA,2,NA,NA
583,female,21,PityAD,5,6,5,NA,NA,NA
584,female,32,Baseline,5,6,NA,NA,NA,NA
585,female,29,EnvyAD,4,7,NA,NA,5,NA
586,male,24,EnvyC,3,7,NA,NA,NA,5
587,male,32,EnvyAD,5,7,NA,NA,5,NA
588,male,43,EnvyC,2,6,NA,NA,NA,6
589,male,44,Baseline,6,4,NA,NA,NA,NA
590,female,43,PityC,6,6,NA,2,NA,NA
591,male,31,PityAD,6,6,6,NA,NA,NA
592,female,37,PityC,6,6,NA,1,NA,NA
593,female,30,Baseline,5,6,NA,NA,NA,NA
594,female,47,PityAD,6,6,2,NA,NA,NA
595,female,45,EnvyAD,4,6,NA,NA,3,NA
596,female,34,EnvyC,6,6,NA,NA,NA,2
597,female,31,EnvyAD,6,6,NA,NA,7,NA
598,male,34,Baseline,3,6,NA,NA,NA,NA
599,female,29,EnvyC,3,5,NA,NA,NA,5
600,female,29,PityAD,6,3,5,NA,NA,NA
601,female,28,PityC,7,7,NA,3,NA,NA
602,female,25,EnvyC,5,5,NA,NA,NA,2
603,male,31,PityAD,3,6,2,NA,NA,NA
604,male,38,Baseline,5,6,NA,NA,NA,NA
605,male,23,EnvyAD,5,7,NA,NA,6,NA
606,male,48,PityC,5,6,NA,2,NA,NA
607,female,31,EnvyAD,5,6,NA,NA,3,NA
608,female,41,PityAD,7,5,5,NA,NA,NA
609,female,59,EnvyC,7,7,NA,NA,NA,7
610,male,35,PityC,5,6,NA,2,NA,NA
611,female,34,PityAD,7,6,5,NA,NA,NA
612,male,52,PityC,6,7,NA,1,NA,NA
613,female,33,Baseline,7,2,NA,NA,NA,NA
614,male,34,EnvyAD,5,5,NA,NA,5,NA
615,female,19,Baseline,5,6,NA,NA,NA,NA
616,female,28,EnvyC,5,6,NA,NA,NA,3
617,male,28,PityAD,5,3,5,NA,NA,NA
618,female,32,EnvyAD,1,4,NA,NA,5,NA
619,female,32,EnvyC,5,6,NA,NA,NA,4
620,female,64,PityC,6,5,NA,1,NA,NA
621,male,33,PityC,7,3,NA,1,NA,NA
622,female,47,Baseline,5,7,NA,NA,NA,NA
623,male,23,EnvyC,7,3,NA,NA,NA,3
624,female,31,PityAD,5,6,3,NA,NA,NA
625,female,20,EnvyAD,4,5,NA,NA,2,NA
626,male,26,PityC,5,5,NA,3,NA,NA
627,female,45,EnvyAD,2,7,NA,NA,3,NA
628,male,27,Baseline,6,6,NA,NA,NA,NA
629,female,28,EnvyC,3,6,NA,NA,NA,5
630,female,26,PityC,5,5,NA,2,NA,NA
631,female,33,EnvyC,4,6,NA,NA,NA,5
632,female,30,PityAD,6,3,5,NA,NA,NA
633,female,28,PityAD,7,5,5,NA,NA,NA
634,female,33,EnvyAD,5,5,NA,NA,5,NA
635,female,31,Baseline,7,5,NA,NA,NA,NA
636,female,33,EnvyAD,6,5,NA,NA,3,NA
637,female,25,PityAD,5,6,2,NA,NA,NA
638,male,31,Baseline,3,6,NA,NA,NA,NA
639,female,34,PityC,6,6,NA,2,NA,NA
640,male,23,EnvyC,7,6,NA,NA,NA,5
641,male,32,Baseline,7,6,NA,NA,NA,NA
642,female,43,EnvyAD,5,7,NA,NA,3,NA
643,female,56,EnvyC,5,5,NA,NA,NA,2
644,female,36,PityC,6,6,NA,4,NA,NA
645,female,41,PityAD,6,3,5,NA,NA,NA
646,female,28,PityAD,5,6,5,NA,NA,NA
647,female,28,EnvyC,7,5,NA,NA,NA,2
648,male,31,PityC,6,4,NA,2,NA,NA
649,female,52,EnvyAD,5,6,NA,NA,3,NA
650,male,34,Baseline,5,7,NA,NA,NA,NA
651,male,23,PityAD,5,2,5,NA,NA,NA
652,female,46,PityC,5,7,NA,1,NA,NA
653,female,32,Baseline,6,7,NA,NA,NA,NA
654,female,34,EnvyC,5,6,NA,NA,NA,2
655,female,30,EnvyAD,4,5,NA,NA,4,NA
656,male,25,PityC,3,6,NA,3,NA,NA
657,female,53,PityAD,5,6,3,NA,NA,NA
658,male,27,Baseline,5,5,NA,NA,NA,NA
659,female,31,EnvyC,4,7,NA,NA,NA,6
660,other,22,EnvyAD,5,3,NA,NA,4,NA
661,female,47,Baseline,5,5,NA,NA,NA,NA
662,female,32,PityAD,7,5,4,NA,NA,NA
663,female,25,EnvyC,5,5,NA,NA,NA,2
664,male,24,PityC,5,7,NA,1,NA,NA
665,male,43,EnvyAD,6,5,NA,NA,2,NA
666,female,50,PityAD,5,6,5,NA,NA,NA
667,male,21,EnvyAD,5,3,NA,NA,5,NA
668,female,38,EnvyC,3,6,NA,NA,NA,3
669,female,39,PityC,7,2,NA,2,NA,NA
670,female,41,PityC,5,6,NA,2,NA,NA
671,male,34,Baseline,5,4,NA,NA,NA,NA
672,male,27,EnvyC,5,5,NA,NA,NA,7
673,male,20,PityAD,5,7,3,NA,NA,NA
674,male,31,Baseline,6,5,NA,NA,NA,NA
675,male,23,EnvyAD,5,7,NA,NA,3,NA
676,female,33,PityC,7,5,NA,5,NA,NA
677,female,25,EnvyC,5,6,NA,NA,NA,3
678,female,56,EnvyAD,5,6,NA,NA,4,NA
679,female,48,Baseline,6,7,NA,NA,NA,NA
680,male,28,PityAD,6,7,5,NA,NA,NA
681,female,26,Baseline,7,4,NA,NA,NA,NA
682,male,33,EnvyC,6,5,NA,NA,NA,2
683,female,33,EnvyAD,6,7,NA,NA,5,NA
684,male,21,PityC,6,6,NA,3,NA,NA
685,female,51,Baseline,5,5,NA,NA,NA,NA
686,male,36,PityAD,5,6,5,NA,NA,NA
687,female,30,PityC,7,5,NA,2,NA,NA
688,female,50,EnvyC,7,6,NA,NA,NA,6
689,female,25,PityAD,5,7,3,NA,NA,NA
690,male,22,EnvyAD,5,7,NA,NA,5,NA
691,female,44,Baseline,7,5,NA,NA,NA,NA
692,female,25,EnvyAD,6,7,NA,NA,2,NA
693,male,21,EnvyC,3,6,NA,NA,NA,5
694,female,20,PityC,6,7,NA,6,NA,NA
695,male,45,PityAD,5,7,3,NA,NA,NA
696,female,40,PityAD,5,7,3,NA,NA,NA
697,female,64,PityAD,5,7,3,NA,NA,NA
698,female,35,Baseline,5,6,NA,NA,NA,NA
699,male,44,PityC,6,5,NA,1,NA,NA
700,male,25,EnvyAD,6,3,NA,NA,7,NA
701,female,60,EnvyC,5,7,NA,NA,NA,5
702,male,47,Baseline,3,6,NA,NA,NA,NA
703,female,53,EnvyAD,5,7,NA,NA,6,NA
704,female,50,EnvyC,6,7,NA,NA,NA,3
705,male,21,EnvyC,7,5,NA,NA,NA,1
706,female,57,PityC,6,5,NA,3,NA,NA
707,prefer not to answer,25,PityAD,4,4,4,NA,NA,NA
708,male,26,Baseline,5,6,NA,NA,NA,NA
709,male,35,EnvyC,3,6,NA,NA,NA,5
710,female,49,EnvyAD,2,6,NA,NA,2,NA
711,male,23,PityC,6,6,NA,2,NA,NA
712,female,33,PityAD,7,3,3,NA,NA,NA
713,female,28,Baseline,5,7,NA,NA,NA,NA
714,female,53,PityC,6,7,NA,2,NA,NA
715,male,28,EnvyAD,5,7,NA,NA,6,NA
716,female,35,PityAD,6,5,3,NA,NA,NA
717,male,26,Baseline,6,6,NA,NA,NA,NA
718,female,31,PityC,3,6,NA,1,NA,NA
719,male,24,EnvyC,5,5,NA,NA,NA,1
720,male,22,EnvyAD,3,7,NA,NA,4,NA
721,female,45,PityC,6,5,NA,3,NA,NA
722,female,32,Baseline,6,5,NA,NA,NA,NA
723,female,29,PityAD,3,5,5,NA,NA,NA
724,female,20,EnvyAD,4,6,NA,NA,5,NA
725,male,29,EnvyC,3,5,NA,NA,NA,6
726,female,45,EnvyC,6,7,NA,NA,NA,1
727,female,50,Baseline,6,5,NA,NA,NA,NA
728,female,28,PityC,5,4,NA,1,NA,NA
729,female,33,PityC,7,6,NA,2,NA,NA
730,male,56,PityAD,6,2,3,NA,NA,NA
731,male,56,PityAD,7,6,5,NA,NA,NA
732,female,20,Baseline,5,6,NA,NA,NA,NA
733,male,25,EnvyC,4,6,NA,NA,NA,3
734,male,27,EnvyAD,6,6,NA,NA,5,NA
735,female,32,PityAD,7,6,5,NA,NA,NA
736,male,38,PityC,5,6,NA,3,NA,NA
737,female,29,Baseline,5,6,NA,NA,NA,NA
738,male,32,EnvyAD,6,7,NA,NA,6,NA
739,female,58,EnvyC,5,6,NA,NA,NA,1
740,female,23,EnvyAD,5,5,NA,NA,2,NA
741,female,62,PityC,6,5,NA,2,NA,NA
742,male,35,PityAD,6,3,5,NA,NA,NA
743,male,35,EnvyC,6,6,NA,NA,NA,5
744,female,24,Baseline,6,5,NA,NA,NA,NA
745,female,,EnvyC,4,6,NA,NA,NA,2
746,female,23,PityC,5,4,NA,3,NA,NA
747,female,29,Baseline,7,6,NA,NA,NA,NA
748,female,41,PityAD,7,7,7,NA,NA,NA
749,female,36,EnvyAD,5,6,NA,NA,2,NA
750,male,31,PityC,7,6,NA,2,NA,NA
751,female,36,EnvyAD,3,5,NA,NA,5,NA
752,female,32,PityAD,5,6,3,NA,NA,NA
753,female,54,EnvyC,5,6,NA,NA,NA,7
754,male,30,Baseline,5,5,NA,NA,NA,NA
755,female,29,Baseline,4,6,NA,NA,NA,NA
756,female,38,EnvyAD,7,5,NA,NA,3,NA
757,male,33,EnvyC,5,6,NA,NA,NA,6
758,male,28,PityAD,6,6,4,NA,NA,NA
759,female,37,PityC,5,7,NA,3,NA,NA
760,male,19,PityAD,6,7,5,NA,NA,NA
761,female,49,EnvyAD,6,6,NA,NA,5,NA
762,female,46,PityC,5,7,NA,3,NA,NA
763,female,62,Baseline,7,2,NA,NA,NA,NA
764,female,37,EnvyC,4,5,NA,NA,NA,6
765,female,64,PityC,4,5,NA,1,NA,NA
766,male,26,EnvyC,3,6,NA,NA,NA,4
767,female,27,Baseline,6,5,NA,NA,NA,NA
768,female,19,PityAD,5,7,5,NA,NA,NA
769,female,21,EnvyAD,5,5,NA,NA,3,NA
770,male,25,Baseline,6,5,NA,NA,NA,NA
771,female,22,PityC,5,5,NA,2,NA,NA
772,female,52,EnvyC,6,5,NA,NA,NA,2
773,female,34,PityAD,7,5,7,NA,NA,NA
774,female,60,EnvyAD,3,7,NA,NA,6,NA
775,male,42,EnvyAD,7,7,NA,NA,7,NA
776,female,58,EnvyC,3,6,NA,NA,NA,2
777,female,41,PityAD,5,4,3,NA,NA,NA
778,female,31,PityC,6,4,NA,3,NA,NA
779,female,28,Baseline,6,6,NA,NA,NA,NA
780,female,38,PityC,7,5,NA,3,NA,NA
781,male,23,EnvyAD,2,6,NA,NA,6,NA
782,male,26,EnvyC,6,6,NA,NA,NA,2
783,male,33,Baseline,6,5,NA,NA,NA,NA
784,female,46,PityAD,5,6,3,NA,NA,NA
785,female,65,Baseline,7,6,NA,NA,NA,NA
786,female,24,PityAD,6,5,3,NA,NA,NA
787,female,37,EnvyC,5,5,NA,NA,NA,4
788,male,20,EnvyAD,4,7,NA,NA,5,NA
789,female,49,PityC,5,6,NA,2,NA,NA
790,male,37,Baseline,7,6,NA,NA,NA,NA
791,female,53,EnvyAD,3,5,NA,NA,3,NA
792,female,22,EnvyC,5,5,NA,NA,NA,4
793,female,26,PityC,5,7,NA,1,NA,NA
794,male,45,PityAD,5,5,5,NA,NA,NA
795,male,37,PityC,5,6,NA,2,NA,NA
796,female,44,PityAD,5,7,5,NA,NA,NA
797,male,27,EnvyC,6,5,NA,NA,NA,5
798,female,66,EnvyAD,3,7,NA,NA,5,NA
799,female,46,Baseline,6,7,NA,NA,NA,NA
800,male,45,EnvyAD,4,7,NA,NA,6,NA
