subject,sex,age,condition,responseorder,h.pity.target,h.envy.target,h.pityAD,h.pityC,h.envyAD,h.envyC,w.pity.target,w.envy.target,w.pityAD,w.pityC,w.envyAD,w.envyC
243,female,23,PityAD,WTP,6,5,6,NA,NA,NA,2.836736542,3.474138006,3.353756307,NA,NA,NA
244,male,27,Baseline,WTP,6,5,NA,NA,NA,NA,2.768204124,2.215937286,NA,NA,NA,NA
245,female,24,Baseline,WTP,4,7,NA,NA,NA,NA,3.912222985,4.32611744,NA,NA,NA,NA
246,male,34,PityAD,Hire,6,6,7,NA,NA,NA,4.096841442,4.133725519,4.394449155,NA,NA,NA
247,male,33,EnvyAD,Hire,3,7,NA,NA,6,NA,4.120012309,5.224617004,NA,NA,5.107338443,NA
248,male,34,PityC,Hire,5,6,NA,2,NA,NA,4.637153232,4.807376066,NA,4.394449155,NA,NA
249,male,31,EnvyC,WTP,4,7,NA,NA,NA,4,2.960623096,3.003204288,NA,NA,NA,2.931193752
250,female,37,PityC,WTP,5,7,NA,2,NA,NA,3.620065138,4.256746818,NA,1.93441577,NA,NA
251,female,32,PityC,WTP,5,6,NA,1,NA,NA,3.541538866,3.734091797,NA,2.573375298,NA,NA
252,male,37,EnvyAD,WTP,5,6,NA,NA,4,NA,3.685624161,3.69262244,NA,NA,3.699819394,NA
253,female,23,Baseline,Hire,6,5,NA,NA,NA,NA,2.303584593,2.732417558,NA,NA,NA,NA
254,male,41,EnvyC,Hire,6,6,NA,NA,NA,6,4.628984364,4.718409582,NA,NA,NA,4.809660849
255,female,19,Baseline,Hire,6,5,NA,NA,NA,NA,4.307303088,3.260785228,NA,NA,NA,NA
256,male,45,EnvyAD,Hire,6,6,NA,NA,2,NA,2.529720666,3.084200922,NA,NA,2.989211057,NA
257,female,19,EnvyC,Hire,6,6,NA,NA,NA,6,2.310553263,2.413231613,NA,NA,NA,2.808800104
258,male,36,EnvyC,WTP,6,5,NA,NA,NA,2,3.193763124,2.656054906,NA,NA,NA,2.18492705
259,male,31,PityC,Hire,6,7,NA,1,NA,NA,3.699819394,4.096841442,NA,2.18492705,NA,NA
260,male,20,PityAD,Hire,5,7,2,NA,NA,NA,3.747384183,3.420346201,2.900322089,NA,NA,NA
261,female,52,Baseline,WTP,3,5,NA,NA,NA,NA,2.975019232,3.420346201,NA,NA,NA,NA
262,male,30,PityAD,WTP,5,6,4,NA,NA,NA,3.044522438,3.392156637,2.713369363,NA,NA,NA
263,male,25,EnvyAD,WTP,5,7,NA,NA,2,NA,4.807376066,5.303304908,NA,NA,4.966613742,NA
264,male,29,PityAD,WTP,7,7,6,NA,NA,NA,3.491342732,3.912222985,3.685624161,NA,NA,NA
265,male,29,EnvyAD,WTP,5,6,NA,NA,2,NA,4.376888457,4.966613742,NA,NA,4.61234439,NA
266,male,23,PityAD,WTP,6,6,3,NA,NA,NA,3.699819394,4.355425953,2.946016681,NA,NA,NA
267,female,50,PityC,WTP,7,3,NA,2,NA,NA,4.129228964,3.657130756,NA,2.960623096,NA,NA
268,male,53,Baseline,WTP,2,6,NA,NA,NA,NA,3.895283681,4.394449155,NA,NA,NA,NA
269,male,30,EnvyC,WTP,5,6,NA,NA,NA,7,4.106273133,4.617888958,NA,NA,NA,5.079663721
270,female,22,EnvyAD,Hire,4,6,NA,NA,5,NA,3.109507288,3.720378121,NA,NA,3.678576561,NA
271,male,21,PityAD,Hire,6,6,7,NA,NA,NA,4.976319864,4.895448884,5.103882742,NA,NA,NA
272,female,29,PityC,WTP,4,3,NA,4,NA,NA,1.969905655,1.244154594,NA,1.969905655,NA,NA
273,female,50,PityC,Hire,6,5,NA,2,NA,NA,4.092175545,4.073291153,NA,0,NA,NA
274,female,45,Baseline,Hire,6,6,NA,NA,NA,NA,5.303304908,5.303304908,NA,NA,NA,NA
275,male,32,EnvyC,Hire,6,6,NA,NA,NA,2,4.133725519,4.160444364,NA,NA,NA,4.106273133
276,male,27,EnvyC,WTP,5,7,NA,NA,NA,5,1.848454813,2.946016681,NA,NA,NA,1.891604804
277,male,30,EnvyC,Hire,5,6,NA,NA,NA,5,3.824065727,4.351825126,NA,NA,NA,4.480966583
278,female,29,Baseline,WTP,5,6,NA,NA,NA,NA,4.628984364,4.811940423,NA,NA,NA,NA
279,male,42,PityAD,Hire,4,5,3,NA,NA,NA,2.59450816,3.070839746,2.332143895,NA,NA,NA
280,female,22,EnvyAD,Hire,7,5,NA,NA,1,NA,3.923556241,3.541538866,NA,NA,2.884800713,NA
281,male,28,EnvyAD,WTP,4,6,NA,NA,3,NA,3.38269391,3.740760076,NA,NA,2.931193752,NA
282,male,19,PityAD,WTP,6,7,5,NA,NA,NA,3.429460847,4.101651137,3.438493166,NA,NA,NA
283,female,41,Baseline,Hire,3,6,NA,NA,NA,NA,3.866188469,4.373364224,NA,NA,NA,NA
284,male,33,Baseline,WTP,3,6,NA,NA,NA,NA,3.292869505,3.720378121,NA,NA,NA,NA
285,male,46,PityC,Hire,5,6,NA,2,NA,NA,2.694627181,3.872033997,NA,2.303584593,NA,NA
286,male,24,PityC,WTP,7,5,NA,2,NA,NA,3.070839746,2.960623096,NA,2.59450816,NA,NA
287,male,28,EnvyAD,WTP,6,6,NA,NA,5,NA,3.491342732,3.18221184,NA,NA,3.438493166,NA
288,male,27,PityAD,WTP,5,7,3,NA,NA,NA,3.392156637,3.918005077,2.989211057,NA,NA,NA
289,male,24,Baseline,Hire,4,6,NA,NA,NA,NA,4.087487775,4.394449155,NA,NA,NA,NA
290,female,27,EnvyC,Hire,7,6,NA,NA,NA,1,4.092175545,4.096841442,NA,NA,NA,4.096841442
291,male,29,PityAD,Hire,6,5,2,NA,NA,NA,3.533394551,3.363495514,2.636196097,NA,NA,NA
292,male,42,EnvyC,WTP,4,5,NA,NA,NA,2,2.484072969,3.747384183,NA,NA,NA,3.070839746
293,male,30,EnvyAD,Hire,7,6,NA,NA,5,NA,4.891175854,4.499920775,NA,NA,4.264649767,NA
294,male,27,PityC,WTP,4,6,NA,1,NA,NA,2.989211057,3.671478939,NA,0,NA,NA
295,female,22,PityC,Hire,7,7,NA,3,NA,NA,4.151669629,3.848444024,NA,2.931193752,NA,NA
296,male,58,Baseline,Hire,3,6,NA,NA,NA,NA,2.960623096,3.699819394,NA,NA,NA,NA
297,male,25,PityAD,WTP,3,6,3,NA,NA,NA,3.373140784,3.900962058,2.853015971,NA,NA,NA
298,male,24,PityAD,Hire,3,7,1,NA,NA,NA,2.551786179,3.044522438,2.215937286,NA,NA,NA
299,male,22,EnvyC,WTP,6,5,NA,NA,NA,2,3.699819394,3.353756307,NA,NA,NA,2.884800713
300,male,34,PityC,WTP,4,5,NA,4,NA,NA,2.435366204,2.989211057,NA,2.675527009,NA,NA
301,male,22,PityC,Hire,5,6,NA,4,NA,NA,3.854393893,3.967079211,NA,3.38269391,NA,NA
302,male,30,Baseline,WTP,3,5,NA,NA,NA,NA,3.271468275,3.678576561,NA,NA,NA,NA
303,male,30,EnvyAD,WTP,5,6,NA,NA,7,NA,3.303216973,3.508256454,NA,NA,3.343568269,NA
304,female,39,EnvyC,Hire,5,6,NA,NA,NA,3,4.369827527,4.106273133,NA,NA,NA,3.671478939
305,female,39,EnvyC,Hire,6,5,NA,NA,NA,2,4.05386973,3.685624161,NA,NA,NA,2.048982334
306,male,33,PityC,Hire,6,6,NA,2,NA,NA,3.951051392,4.142658423,NA,2.989211057,NA,NA
307,male,53,EnvyAD,Hire,4,6,NA,NA,5,NA,3.134189017,3.508256454,NA,NA,3.549617387,NA
308,male,32,EnvyAD,Hire,6,6,NA,NA,5,NA,3.549617387,3.805328267,NA,NA,3.38269391,NA
309,male,35,PityC,WTP,5,6,NA,3,NA,NA,3.685624161,3.877845554,NA,3.003204288,NA,NA
310,female,34,EnvyC,WTP,5,7,NA,NA,NA,2,3.664330581,4.207673248,NA,NA,NA,2.975019232
311,female,58,PityAD,WTP,5,5,4,NA,NA,NA,4.394449155,4.631714741,4.645351976,NA,NA,NA
312,female,63,EnvyC,WTP,5,7,NA,NA,NA,3,3.915417238,4.617888958,NA,NA,NA,3.673765816
313,female,28,Baseline,WTP,6,6,NA,NA,NA,NA,3.896909368,3.992680908,NA,NA,NA,NA
314,male,23,PityAD,Hire,5,7,1,NA,NA,NA,3.373140784,3.912222985,2.946016681,NA,NA,NA
315,male,29,PityAD,Hire,5,6,1,NA,NA,NA,3.313458467,3.363495514,2.884800713,NA,NA,NA
316,male,24,EnvyAD,WTP,4,6,NA,NA,5,NA,3.685624161,4.383899879,NA,NA,3.664330581,NA
317,female,32,Baseline,Hire,6,5,NA,NA,NA,NA,4.383525511,4.158883083,NA,NA,NA,NA
318,female,33,PityAD,Hire,5,6,2,NA,NA,NA,4.617888958,4.818828898,4.394449155,NA,NA,NA
319,female,56,PityAD,WTP,5,5,4,NA,NA,NA,3.951051392,4.240607069,4.06834276,NA,NA,NA
320,female,72,EnvyAD,WTP,6,6,NA,NA,7,NA,2.884800713,2.869034621,NA,NA,2.869034621,NA
321,male,32,PityC,Hire,2,6,NA,1,NA,NA,1.477048724,3.031099417,NA,0,NA,NA
322,female,24,EnvyAD,Hire,4,7,NA,NA,6,NA,3.753964701,4.477791257,NA,NA,3.727138166,NA
323,male,26,Baseline,WTP,3,7,NA,NA,NA,NA,3.499835352,4.809660849,NA,NA,NA,NA
324,male,33,EnvyC,Hire,5,7,NA,NA,NA,2,2.819591576,3.260785228,NA,NA,NA,2.332143895
325,male,29,Baseline,Hire,6,5,NA,NA,NA,NA,2.884800713,2.869034621,NA,NA,NA,NA
326,female,46,PityAD,WTP,3,5,3,NA,NA,NA,4.268577942,4.821087692,3.906608373,NA,NA,NA
327,male,27,PityC,WTP,4,6,NA,1,NA,NA,0.989541194,4.268577942,NA,0,NA,NA
328,female,30,Baseline,Hire,5,6,NA,NA,NA,NA,4.142658423,4.661455997,NA,NA,NA,NA
329,female,69,PityC,WTP,3,6,NA,1,NA,NA,4.092175545,4.620649757,NA,3.657130756,NA,NA
330,male,25,EnvyAD,Hire,4,5,NA,NA,5,NA,2.484072969,3.18221184,NA,NA,2.713369363,NA
331,female,51,EnvyC,WTP,5,6,NA,NA,NA,2,3.940027202,3.044522438,NA,NA,NA,3.447444633
332,female,60,Baseline,WTP,5,6,NA,NA,NA,NA,3.353756307,3.401530659,NA,NA,NA,NA
333,male,35,PityC,Hire,6,7,NA,2,NA,NA,4.388505601,4.791815714,NA,3.640476715,NA,NA
334,female,34,PityC,WTP,4,4,NA,4,NA,NA,3.678576561,3.671478939,NA,3.685624161,NA,NA
335,female,37,EnvyC,Hire,5,7,NA,NA,NA,1,2.975019232,2.946016681,NA,NA,NA,2.931193752
336,female,50,EnvyC,Hire,5,6,NA,NA,NA,2,3.38269391,3.581572601,NA,NA,NA,3.642311818
337,female,22,Baseline,Hire,1,7,NA,NA,NA,NA,1.756132292,3.323596136,NA,NA,NA,NA
338,female,35,EnvyAD,WTP,2,6,NA,NA,2,NA,2.900322089,3.766997233,NA,NA,3.411147713,NA
339,male,22,PityAD,WTP,5,5,3,NA,NA,NA,3.685624161,4.268577942,3.895283681,NA,NA,NA
340,male,,Baseline,Hire,1,7,NA,NA,NA,NA,1.539015448,3.2820384,NA,NA,NA,NA
341,male,27,Baseline,WTP,7,5,NA,NA,NA,NA,3.465423354,3.057767664,NA,NA,NA,NA
342,female,34,EnvyC,WTP,6,5,NA,NA,NA,1,4.106273133,4.295787687,NA,NA,NA,3.727138166
343,male,52,PityAD,Hire,4,6,5,NA,NA,NA,3.070839746,3.508256454,3.044522438,NA,NA,NA
344,male,26,PityC,Hire,6,2,NA,3,NA,NA,3.363495514,2.915606229,NA,2.931193752,NA,NA
345,male,25,EnvyC,WTP,7,6,NA,NA,NA,6,3.541538866,3.817932082,NA,NA,NA,4.264649767
346,male,22,EnvyC,Hire,5,5,NA,NA,NA,3,4.019082078,4.014037931,NA,NA,NA,3.940027202
347,female,65,PityC,WTP,6,7,NA,3,NA,NA,4.408303358,4.807376066,NA,3.671478939,NA,NA
348,male,31,EnvyAD,WTP,5,5,NA,NA,6,NA,3.549617387,3.401530659,NA,NA,3.786459782,NA
349,female,69,EnvyAD,Hire,3,7,NA,NA,7,NA,3.420346201,3.848444024,NA,NA,3.836221292,NA
350,female,39,EnvyC,Hire,5,6,NA,NA,NA,3,3.699819394,4.078045789,NA,NA,NA,2.900322089
351,female,20,EnvyAD,Hire,7,6,NA,NA,5,NA,2.946016681,2.869034621,NA,NA,2.931193752,NA
352,female,30,PityC,Hire,7,6,NA,3,NA,NA,3.383372797,3.151453149,NA,2.135349174,NA,NA
353,male,30,Baseline,Hire,6,5,NA,NA,NA,NA,3.549617387,3.38269391,NA,NA,NA,NA
354,male,26,Baseline,WTP,7,7,NA,NA,NA,NA,2.385086315,2.385086315,NA,NA,NA,NA
355,male,41,PityAD,WTP,7,5,6,NA,NA,NA,2.802754137,2.459588842,2.410542234,NA,NA,NA
356,other,36,PityC,Hire,5,2,NA,1,NA,NA,2.215937286,3.895283681,NA,1.539015448,NA,NA
357,female,42,PityAD,WTP,6,3,5,NA,NA,NA,3.720378121,3.533394551,3.401530659,NA,NA,NA
358,female,47,PityAD,Hire,4,6,3,NA,NA,NA,3.24998682,4.120012309,2.915606229,NA,NA,NA
359,male,20,Baseline,WTP,4,6,NA,NA,NA,NA,3.18221184,3.24998682,NA,NA,NA,NA
360,female,24,PityAD,Hire,6,5,2,NA,NA,NA,3.303216973,3.64961874,2.931193752,NA,NA,NA
361,female,33,EnvyAD,Hire,6,6,NA,NA,5,NA,2.483238593,1.974081026,NA,NA,2.410542234,NA
362,male,32,EnvyC,WTP,4,6,NA,NA,NA,5,3.438493166,4.21597205,NA,NA,NA,3.877845554
363,male,26,PityAD,Hire,7,5,2,NA,NA,NA,2.615934912,2.410542234,1.93441577,NA,NA,NA
364,female,54,EnvyAD,WTP,3,6,NA,NA,5,NA,3.313458467,3.900962058,NA,NA,3.64961874,NA
365,female,25,Baseline,Hire,5,4,NA,NA,NA,NA,3.420346201,3.303216973,NA,NA,NA,NA
366,female,33,PityC,WTP,6,7,NA,2,NA,NA,3.392156637,4.096841442,NA,2.946016681,NA,NA
367,male,21,PityC,WTP,5,7,NA,1,NA,NA,3.38269391,4.110873864,NA,2.931193752,NA,NA
368,male,24,EnvyC,WTP,3,7,NA,NA,NA,5,4.387511565,5.031156617,NA,NA,NA,4.620649757
369,female,27,EnvyAD,Hire,6,5,NA,NA,2,NA,3.401530659,3.549617387,NA,NA,3.21647294,NA
370,male,37,PityC,Hire,5,6,NA,3,NA,NA,2.900322089,3.401530659,NA,2.853015971,NA,NA
371,female,25,PityAD,WTP,6,4,7,NA,NA,NA,NA,3.834493803,4.228584037,NA,NA,NA
372,male,32,Baseline,WTP,5,5,NA,NA,NA,NA,5.303304908,5.303304908,NA,NA,NA,NA
373,male,37,Baseline,WTP,3,6,NA,NA,NA,NA,3.017493765,4.110873864,NA,NA,NA,NA
374,male,29,PityAD,Hire,5,6,3,NA,NA,NA,4.014037931,4.264649767,3.323596136,NA,NA,NA
375,female,61,EnvyC,Hire,2,6,NA,NA,NA,2,4.617888958,4.623501143,NA,NA,NA,4.606669062
376,male,37,EnvyAD,WTP,6,5,NA,NA,1,NA,3.313458467,3.260785228,NA,NA,3.411147713,NA
377,male,27,EnvyAD,WTP,5,6,NA,NA,5,NA,3.766997233,4.115453525,NA,NA,3.740760076,NA
378,male,37,Baseline,Hire,7,6,NA,NA,NA,NA,5.303304908,5.204720718,NA,NA,NA,NA
379,male,46,PityC,Hire,4,3,NA,6,NA,NA,4.236567243,3.940027202,NA,4.408303358,NA,NA
380,male,25,EnvyC,WTP,5,7,NA,NA,NA,6,3.792788918,4.441945125,NA,NA,NA,4.620649757
381,female,25,PityAD,WTP,5,6,2,NA,NA,NA,3.313458467,3.627535824,2.750470917,NA,NA,NA
382,female,32,PityC,WTP,6,5,NA,2,NA,NA,4.908676394,4.456670178,NA,4.07022262,NA,NA
383,male,30,Baseline,Hire,4,6,NA,NA,NA,NA,4.096841442,4.617888958,NA,NA,NA,NA
384,female,23,EnvyC,Hire,6,6,NA,NA,NA,5,3.694364384,3.569814347,NA,NA,NA,3.591542221
385,female,38,Baseline,WTP,7,6,NA,NA,NA,NA,4.634437684,4.628984364,NA,NA,NA,NA
386,female,30,PityAD,WTP,5,5,3,NA,NA,NA,2.713369363,3.491342732,2.884800713,NA,NA,NA
387,female,28,PityAD,Hire,6,5,2,NA,NA,NA,2.956991445,2.76757618,2.550226116,NA,NA,NA
388,male,55,EnvyC,Hire,5,7,NA,NA,NA,3,3.343568269,3.92907676,NA,NA,NA,4.120012309
389,male,25,EnvyAD,WTP,3,6,NA,NA,4,NA,4.589650374,4.930581475,NA,NA,4.809660849,NA
390,female,30,PityC,Hire,5,7,NA,2,NA,NA,3.373140784,3.671478939,NA,2.084429083,NA,NA
391,male,28,Baseline,Hire,6,6,NA,NA,NA,NA,3.313458467,3.323596136,NA,NA,NA,NA
392,male,26,EnvyAD,Hire,6,7,NA,NA,7,NA,NA,3.560761951,NA,NA,3.504355474,NA
393,male,32,EnvyC,WTP,2,6,NA,NA,NA,3,1.088561953,3.260785228,NA,NA,NA,2.358965426
394,female,45,PityC,WTP,5,7,NA,1,NA,NA,3.491342732,3.38269391,NA,2.332143895,NA,NA
395,female,39,PityC,Hire,6,7,NA,2,NA,NA,3.769767958,3.948354935,NA,2.554899022,NA,NA
396,female,31,PityAD,Hire,7,5,6,NA,NA,NA,4.471410196,4.964591356,4.404888304,NA,NA,NA
397,female,35,EnvyAD,WTP,5,5,NA,NA,3,NA,3.482777369,2.946016681,NA,NA,3.044522438,NA
398,male,53,PityC,WTP,5,7,NA,1,NA,NA,3.549617387,3.727138166,NA,3.18221184,NA,NA
399,male,20,EnvyC,Hire,4,5,NA,NA,NA,3,3.713572067,3.353756307,NA,NA,NA,2.960623096
400,male,20,Baseline,WTP,6,5,NA,NA,NA,NA,3.727138166,4.05386973,NA,NA,NA,NA
401,male,23,EnvyC,WTP,4,5,NA,NA,NA,4,3.604682295,4.186467851,NA,NA,NA,4.224202549
402,male,32,PityC,Hire,7,5,NA,1,NA,NA,4.115453525,3.895283681,NA,3.363495514,NA,NA
403,male,28,EnvyC,Hire,3,6,NA,NA,NA,1,3.900962058,4.264649767,NA,NA,NA,2.869034621
404,female,34,PityAD,WTP,6,6,3,NA,NA,NA,4.351825126,4.631714741,4.147095128,NA,NA,NA
405,male,27,Baseline,Hire,5,6,NA,NA,NA,NA,3.401530659,3.657130756,NA,NA,NA,NA
406,male,35,Baseline,WTP,3,6,NA,NA,NA,NA,3.92907676,4.438643235,NA,NA,NA,NA
407,male,28,Baseline,Hire,5,6,NA,NA,NA,NA,3.678576561,4.082777926,NA,NA,NA,NA
408,female,32,Baseline,WTP,3,5,NA,NA,NA,NA,3.671478939,3.671478939,NA,NA,NA,NA
409,female,35,PityAD,Hire,5,7,4,NA,NA,NA,4.836837308,5.286345995,4.64265863,NA,NA,NA
410,male,26,PityAD,Hire,5,6,4,NA,NA,NA,3.343568269,3.353756307,3.313458467,NA,NA,NA
411,female,55,EnvyAD,WTP,5,7,NA,NA,5,NA,4.628984364,5.031156617,NA,NA,4.733387484,NA
412,male,36,PityC,WTP,5,5,NA,1,NA,NA,3.699819394,3.260785228,NA,1.974081026,NA,NA
413,male,23,EnvyAD,Hire,5,6,NA,NA,3,NA,2.048982334,3.333632062,NA,NA,2.332143895,NA
414,female,39,PityAD,WTP,4,7,1,NA,NA,NA,3.685624161,5.303304908,2.869034621,NA,NA,NA
415,female,27,PityC,Hire,7,7,NA,5,NA,NA,3.872033997,4.082777926,NA,3.420346201,NA,NA
416,male,40,EnvyC,Hire,6,6,NA,NA,NA,4,4.524719062,4.620649757,NA,NA,NA,4.615120517
417,male,27,PityAD,WTP,5,5,6,NA,NA,NA,3.589335324,3.438493166,3.69262244,NA,NA,NA
418,male,18,EnvyAD,Hire,5,5,NA,NA,6,NA,1.848454813,2.768204124,NA,NA,2.410542234,NA
419,female,29,EnvyAD,WTP,6,7,NA,NA,5,NA,2.884800713,3.205182498,NA,NA,2.275213896,NA
420,female,31,EnvyC,Hire,5,7,NA,NA,NA,3,2.785628336,2.931193752,NA,NA,NA,2.975019232
421,male,25,EnvyC,WTP,3,5,NA,NA,NA,2,2.084429083,2.960623096,NA,NA,NA,2.358965426
422,male,43,PityC,Hire,4,6,NA,1,NA,NA,4.082777926,4.606669062,NA,3.685624161,NA,NA
423,female,35,Baseline,Hire,5,7,NA,NA,NA,NA,3.895283681,4.397899984,NA,NA,NA,NA
424,male,34,PityAD,Hire,4,6,4,NA,NA,NA,3.228033763,4.110873864,2.946016681,NA,NA,NA
425,male,42,Baseline,WTP,5,6,NA,NA,NA,NA,3.392156637,3.713572067,NA,NA,NA,NA
426,female,30,EnvyC,Hire,7,6,NA,NA,NA,2,3.836221292,3.392156637,NA,NA,NA,2.275213896
427,female,35,PityC,Hire,5,6,NA,2,NA,NA,3.533394551,3.64961874,NA,1.848454813,NA,NA
428,male,22,Baseline,WTP,5,5,NA,NA,NA,NA,3.096934154,3.044522438,NA,NA,NA,NA
429,female,25,EnvyAD,Hire,7,5,NA,NA,4,NA,3.918005077,3.678576561,NA,NA,3.401530659,NA
430,male,29,PityC,WTP,5,7,NA,1,NA,NA,2.435366204,2.931193752,NA,2.275213896,NA,NA
431,female,40,EnvyAD,WTP,7,6,NA,NA,5,NA,3.69262244,3.363495514,NA,NA,3.401530659,NA
432,female,30,Baseline,Hire,6,7,NA,NA,NA,NA,4.024100909,4.110873864,NA,NA,NA,NA
433,male,34,PityAD,WTP,6,7,5,NA,NA,NA,3.516904189,3.900962058,3.438493166,NA,NA,NA
434,female,64,EnvyAD,Hire,7,3,NA,NA,2,NA,3.373140784,2.819591576,NA,NA,2.819591576,NA
435,male,27,EnvyC,Hire,7,5,NA,NA,NA,2,3.565864003,3.533394551,NA,NA,NA,3.003204288
436,male,41,PityAD,Hire,5,5,3,NA,NA,NA,4.169142772,4.615120517,3.699819394,NA,NA,NA
437,female,36,PityC,WTP,6,5,NA,2,NA,NA,3.557631168,3.205182498,NA,2.819591576,NA,NA
438,female,26,Baseline,WTP,5,6,NA,NA,NA,NA,4.092175545,4.623501143,NA,NA,NA,NA
439,female,33,PityC,WTP,7,6,NA,2,NA,NA,4.394449155,3.93456697,NA,2.869034621,NA,NA
440,female,25,EnvyAD,WTP,4,5,NA,NA,3,NA,3.69262244,3.866188469,NA,NA,3.392156637,NA
441,female,45,EnvyAD,WTP,5,7,NA,NA,3,NA,4.260706099,4.138201945,NA,NA,4.106273133,NA
442,male,22,EnvyAD,Hire,5,6,NA,NA,5,NA,3.671478939,4.092175545,NA,NA,3.685624161,NA
443,male,24,PityAD,Hire,6,5,3,NA,NA,NA,4.087487775,3.671478939,3.292869505,NA,NA,NA
444,female,22,EnvyC,WTP,6,6,NA,NA,NA,5,4.631519961,4.553876892,NA,NA,NA,4.390366759
445,male,29,EnvyAD,Hire,3,7,NA,NA,5,NA,4.628984364,4.779375562,NA,NA,3.912222985,NA
446,male,28,PityAD,Hire,7,7,2,NA,NA,NA,3.872033997,4.390986376,2.989211057,NA,NA,NA
447,male,32,PityC,Hire,5,6,NA,2,NA,NA,3.411147713,3.69262244,NA,2.931193752,NA,NA
448,female,27,EnvyC,WTP,4,6,NA,NA,NA,4,4.397899984,4.637153232,NA,NA,NA,4.821087692
449,female,25,Baseline,WTP,5,7,NA,NA,NA,NA,2.675527009,3.38269391,NA,NA,NA,NA
450,female,25,EnvyC,WTP,5,5,NA,NA,NA,3,2.900322089,3.353756307,NA,NA,NA,2.989211057
451,male,30,PityC,Hire,5,6,NA,2,NA,NA,3.193763124,3.474138006,NA,2.303584593,NA,NA
452,female,20,EnvyAD,WTP,6,7,NA,NA,4,NA,2.048982334,2.960623096,NA,NA,2.18492705,NA
453,male,28,EnvyAD,WTP,3,6,NA,NA,5,NA,2.869034621,3.313458467,NA,NA,3.121924299,NA
454,female,24,EnvyC,WTP,3,5,NA,NA,NA,6,2.18492705,3.373140784,NA,NA,NA,3.343568269
455,female,22,PityAD,WTP,6,5,7,NA,NA,NA,4.521679875,4.106273133,4.964591356,NA,NA,NA
456,female,41,Baseline,Hire,7,6,NA,NA,NA,NA,4.003690194,3.923556241,NA,NA,NA,NA
457,male,34,Baseline,WTP,2,7,NA,NA,NA,NA,1.40854497,3.575430762,NA,NA,NA,NA
458,female,26,PityAD,WTP,3,5,3,NA,NA,NA,4.81656499,5.303304908,4.394449155,NA,NA,NA
459,female,32,PityAD,WTP,7,6,3,NA,NA,NA,3.573749147,3.205182498,2.636196097,NA,NA,NA
460,female,34,Baseline,Hire,5,6,NA,NA,NA,NA,2.385086315,3.044522438,NA,NA,NA,NA
461,male,39,EnvyC,Hire,3,5,NA,NA,NA,3,3.044522438,3.017493765,NA,NA,NA,2.946016681
462,female,29,PityC,WTP,5,7,NA,3,NA,NA,3.109507288,3.877845554,NA,2.215937286,NA,NA
463,male,23,Baseline,WTP,5,6,NA,NA,NA,NA,3.64961874,4.029094677,NA,NA,NA,NA
464,male,33,PityC,Hire,4,6,NA,1,NA,NA,3.429460847,4.101651137,NA,2.507157259,NA,NA
465,male,43,PityAD,Hire,6,5,5,NA,NA,NA,3.353756307,3.685624161,2.960623096,NA,NA,NA
466,male,38,EnvyC,WTP,3,5,NA,NA,NA,3,3.69262244,4.101651137,NA,NA,NA,3.900962058
467,female,62,EnvyAD,Hire,3,6,NA,NA,5,NA,4.809660849,4.825590031,NA,NA,4.821087692,NA
468,male,28,PityAD,Hire,7,3,3,NA,NA,NA,3.614425268,3.681603045,3.239462458,NA,NA,NA
469,male,24,EnvyC,Hire,5,7,NA,NA,NA,6,4.142658423,4.280409105,NA,NA,NA,4.569439376
470,male,49,PityC,WTP,5,5,NA,3,NA,NA,2.884800713,3.353756307,NA,2.012232792,NA,NA
471,male,21,PityAD,WTP,4,4,2,NA,NA,NA,3.918005077,4.082777926,2.946016681,NA,NA,NA
472,male,32,EnvyC,WTP,4,7,NA,NA,NA,3,4.092175545,4.623501143,NA,NA,NA,4.401338946
473,male,33,EnvyAD,Hire,3,6,NA,NA,3,NA,3.69262244,4.394449155,NA,NA,4.092175545,NA
474,male,22,Baseline,Hire,4,5,NA,NA,NA,NA,3.499835352,3.499835352,NA,NA,NA,NA
475,male,28,PityC,Hire,4,6,NA,2,NA,NA,2.884800713,3.363495514,NA,2.246014742,NA,NA
476,male,32,EnvyAD,WTP,2,6,NA,NA,5,NA,3.678576561,4.61234439,NA,NA,4.536784273,NA
477,male,56,EnvyC,Hire,7,5,NA,NA,NA,5,3.664330581,3.373140784,NA,NA,NA,3.401530659
478,male,45,PityC,WTP,4,7,NA,1,NA,NA,3.727138166,4.394449155,NA,2.975019232,NA,NA
479,male,28,PityAD,WTP,6,6,5,NA,NA,NA,3.313458467,3.678576561,3.239070532,NA,NA,NA
480,female,56,Baseline,Hire,4,6,NA,NA,NA,NA,4.628984364,4.818828898,NA,NA,NA,NA
481,male,29,PityC,Hire,5,6,NA,3,NA,NA,3.392156637,3.923556241,NA,2.960623096,NA,NA
482,female,51,EnvyC,WTP,5,6,NA,NA,NA,3,5.038509831,5.047609897,NA,NA,NA,5.114094002
483,female,21,PityC,Hire,6,7,NA,2,NA,NA,2.884800713,3.343568269,NA,2.275213896,NA,NA
484,male,30,Baseline,WTP,5,5,NA,NA,NA,NA,3.993418644,3.657130756,NA,NA,NA,NA
485,female,64,EnvyAD,WTP,3,7,NA,NA,6,NA,2.989211057,4.101651137,NA,NA,3.918005077,NA
486,female,23,EnvyC,WTP,4,5,NA,NA,NA,3,4.380400313,4.924496264,NA,NA,NA,5.098768264
