subject,sex,age,condition,pity.target,envy.target,pityAD.decoy,pityC.decoy,envyAD.decoy,envyC.decoy
522,female,29,Baseline,7,5,NA,NA,NA,NA
523,female,27,EnvyC,7,6,NA,NA,NA,3
524,female,41,PityC,4,6,NA,2,NA,NA
525,male,20,Baseline,6,6,NA,NA,NA,NA
526,female,31,PityAD,7,5,5,NA,NA,NA
527,female,30,EnvyAD,5,7,NA,NA,5,NA
528,female,34,PityAD,5,7,1,NA,NA,NA
529,female,59,PityC,3,6,NA,3,NA,NA
530,male,39,PityAD,5,2,6,NA,NA,NA
531,female,49,EnvyAD,5,7,NA,NA,5,NA
532,female,26,Baseline,6,6,NA,NA,NA,NA
533,female,54,EnvyC,7,7,NA,NA,NA,5
534,female,28,PityC,6,7,NA,3,NA,NA
535,female,38,EnvyAD,7,6,NA,NA,6,NA
536,female,38,PityAD,7,3,5,NA,NA,NA
537,female,21,EnvyC,3,7,NA,NA,NA,5
538,female,50,PityC,6,5,NA,3,NA,NA
539,male,31,Baseline,6,5,NA,NA,NA,NA
540,female,31,PityC,4,4,NA,2,NA,NA
541,female,33,PityAD,5,5,5,NA,NA,NA
542,male,29,EnvyAD,4,6,NA,NA,3,NA
543,female,28,EnvyC,4,6,NA,NA,NA,3
544,female,25,Baseline,6,2,NA,NA,NA,NA
545,male,27,Baseline,5,6,NA,NA,NA,NA
546,female,22,PityAD,5,7,2,NA,NA,NA
547,female,23,EnvyAD,3,6,NA,NA,3,NA
548,female,31,PityC,5,6,NA,2,NA,NA
549,female,33,EnvyC,7,5,NA,NA,NA,1
550,female,21,Baseline,6,7,NA,NA,NA,NA
551,male,22,PityAD,7,7,7,NA,NA,NA
552,male,33,EnvyC,6,4,NA,NA,NA,2
553,female,31,EnvyAD,2,7,NA,NA,3,NA
554,male,25,PityC,5,6,NA,1,NA,NA
555,female,29,EnvyC,7,4,NA,NA,NA,2
556,male,49,PityC,6,5,NA,3,NA,NA
557,male,19,EnvyAD,5,5,NA,NA,6,NA
558,female,21,Baseline,6,5,NA,NA,NA,NA
559,female,34,PityAD,7,6,5,NA,NA,NA
560,female,44,EnvyC,5,6,NA,NA,NA,3
561,male,24,EnvyAD,7,6,NA,NA,7,NA
562,female,29,PityAD,5,6,2,NA,NA,NA
563,female,40,Baseline,5,5,NA,NA,NA,NA
564,female,20,EnvyAD,7,7,NA,NA,6,NA
565,male,21,Baseline,6,5,NA,NA,NA,NA
566,female,41,PityC,5,7,NA,1,NA,NA
567,female,27,EnvyC,3,7,NA,NA,NA,5
568,female,39,PityAD,7,3,5,NA,NA,NA
569,female,36,PityAD,7,5,6,NA,NA,NA
570,male,30,EnvyC,6,6,NA,NA,NA,2
571,male,46,EnvyAD,6,6,NA,NA,3,NA
572,female,47,PityC,6,5,NA,1,NA,NA
573,female,34,Baseline,5,7,NA,NA,NA,NA
574,female,25,EnvyC,6,7,NA,NA,NA,5
575,female,32,PityC,6,6,NA,3,NA,NA
576,female,56,PityAD,6,6,7,NA,NA,NA
577,male,27,EnvyAD,3,7,NA,NA,5,NA
578,female,73,Baseline,6,6,NA,NA,NA,NA
579,female,62,EnvyAD,6,7,NA,NA,6,NA
580,female,32,PityC,7,6,NA,3,NA,NA
581,male,27,Baseline,7,7,NA,NA,NA,NA
582,female,25,EnvyC,6,7,NA,NA,NA,6
583,female,40,PityAD,6,5,3,NA,NA,NA
584,male,31,Baseline,3,6,NA,NA,NA,NA
585,female,30,PityAD,6,7,5,NA,NA,NA
586,female,29,PityC,5,6,NA,2,NA,NA
587,female,41,EnvyAD,7,5,NA,NA,5,NA
588,male,30,EnvyC,6,5,NA,NA,NA,3
589,female,33,EnvyAD,5,5,NA,NA,6,NA
590,female,37,PityAD,4,6,3,NA,NA,NA
591,male,35,EnvyC,7,7,NA,NA,NA,5
592,female,25,PityC,6,5,NA,3,NA,NA
593,male,38,Baseline,6,5,NA,NA,NA,NA
594,female,62,EnvyC,4,6,NA,NA,NA,2
595,female,61,Baseline,4,4,NA,NA,NA,NA
596,male,47,EnvyAD,5,7,NA,NA,1,NA
597,male,32,PityAD,6,7,2,NA,NA,NA
598,female,77,EnvyC,6,6,NA,NA,NA,5
599,female,29,PityAD,5,3,6,NA,NA,NA
600,male,39,EnvyAD,6,7,NA,NA,6,NA
601,male,34,PityC,4,6,NA,1,NA,NA
602,female,71,Baseline,6,7,NA,NA,NA,NA
603,female,38,PityAD,6,5,5,NA,NA,NA
604,female,55,EnvyAD,5,6,NA,NA,2,NA
605,female,35,PityC,5,5,NA,5,NA,NA
606,female,43,EnvyC,5,6,NA,NA,NA,2
607,female,37,Baseline,3,6,NA,NA,NA,NA
608,female,30,PityC,6,5,NA,2,NA,NA
609,female,27,PityAD,7,6,7,NA,NA,NA
610,female,21,PityC,7,4,NA,7,NA,NA
611,female,64,EnvyC,3,5,NA,NA,NA,5
612,female,44,Baseline,6,7,NA,NA,NA,NA
613,male,32,EnvyAD,3,5,NA,NA,4,NA
614,male,68,EnvyAD,4,4,NA,NA,4,NA
615,female,34,PityC,7,6,NA,3,NA,NA
616,female,38,EnvyC,3,6,NA,NA,NA,1
617,female,30,Baseline,7,6,NA,NA,NA,NA
618,female,43,PityAD,5,5,3,NA,NA,NA
619,female,30,EnvyAD,6,6,NA,NA,5,NA
620,female,34,PityC,4,7,NA,1,NA,NA
621,female,24,Baseline,6,6,NA,NA,NA,NA
622,female,26,EnvyC,7,7,NA,NA,NA,4
623,female,26,PityAD,6,5,2,NA,NA,NA
624,male,34,EnvyAD,4,6,NA,NA,1,NA
625,female,49,EnvyC,5,5,NA,NA,NA,3
626,male,43,PityAD,4,5,5,NA,NA,NA
627,female,38,PityC,7,5,NA,2,NA,NA
628,female,31,Baseline,7,7,NA,NA,NA,NA
629,female,37,Baseline,5,3,NA,NA,NA,NA
630,female,30,PityC,6,6,NA,3,NA,NA
631,female,39,PityAD,7,5,6,NA,NA,NA
632,female,41,PityC,6,4,NA,5,NA,NA
633,female,50,EnvyAD,3,6,NA,NA,3,NA
634,female,28,PityAD,7,5,7,NA,NA,NA
635,male,62,EnvyAD,5,5,NA,NA,5,NA
636,female,33,PityC,5,7,NA,6,NA,NA
637,male,22,Baseline,6,5,NA,NA,NA,NA
638,female,21,EnvyC,6,5,NA,NA,NA,4
639,female,50,EnvyC,7,5,NA,NA,NA,4
640,female,46,EnvyAD,7,7,NA,NA,7,NA
641,female,24,Baseline,6,6,NA,NA,NA,NA
642,male,58,PityAD,6,1,3,NA,NA,NA
643,female,64,Baseline,5,5,NA,NA,NA,NA
644,female,57,EnvyAD,6,7,NA,NA,5,NA
645,female,27,EnvyC,3,6,NA,NA,NA,3
646,male,33,PityC,4,5,NA,6,NA,NA
647,male,34,PityC,5,7,NA,2,NA,NA
648,male,35,Baseline,6,5,NA,NA,NA,NA
649,female,33,EnvyC,7,6,NA,NA,NA,4
650,male,31,EnvyAD,5,6,NA,NA,2,NA
651,female,33,PityAD,6,7,5,NA,NA,NA
652,male,35,EnvyC,6,6,NA,NA,NA,5
653,female,53,EnvyAD,7,7,NA,NA,5,NA
654,male,40,Baseline,2,7,NA,NA,NA,NA
655,female,36,PityC,7,3,NA,2,NA,NA
656,male,NA,PityAD,6,3,3,NA,NA,NA
657,male,35,EnvyC,4,5,NA,NA,NA,6
658,female,52,PityC,1,7,NA,1,NA,NA
659,female,29,PityAD,7,5,6,NA,NA,NA
660,female,38,EnvyAD,6,6,NA,NA,3,NA
661,male,43,EnvyAD,7,5,NA,NA,3,NA
662,female,35,EnvyC,6,7,NA,NA,NA,5
663,female,25,EnvyC,6,7,NA,NA,NA,6
664,female,23,PityAD,5,7,5,NA,NA,NA
665,male,45,PityC,5,7,NA,1,NA,NA
666,male,34,Baseline,6,3,NA,NA,NA,NA
667,female,38,Baseline,7,7,NA,NA,NA,NA
668,female,42,PityC,6,7,NA,3,NA,NA
669,female,48,Baseline,7,7,NA,NA,NA,NA
670,female,39,PityAD,7,7,6,NA,NA,NA
671,female,30,EnvyC,5,5,NA,NA,NA,3
672,female,33,EnvyAD,5,7,NA,NA,3,NA
673,female,51,Baseline,5,5,NA,NA,NA,NA
674,female,36,PityAD,6,5,3,NA,NA,NA
675,female,40,PityAD,4,6,4,NA,NA,NA
676,female,54,PityC,4,5,NA,2,NA,NA
677,male,31,EnvyAD,7,6,NA,NA,6,NA
678,female,46,PityC,7,7,NA,4,NA,NA
679,female,28,EnvyAD,6,6,NA,NA,6,NA
680,female,44,Baseline,5,7,NA,NA,NA,NA
681,female,34,EnvyC,5,7,NA,NA,NA,5
682,female,35,Baseline,6,4,NA,NA,NA,NA
683,male,47,EnvyAD,2,6,NA,NA,5,NA
684,female,38,PityAD,6,7,5,NA,NA,NA
685,female,31,EnvyC,5,5,NA,NA,NA,4
686,female,29,PityC,6,6,NA,5,NA,NA
687,female,50,Baseline,6,4,NA,NA,NA,NA
688,female,49,EnvyC,6,7,NA,NA,NA,1
689,male,33,EnvyAD,6,5,NA,NA,4,NA
690,female,35,PityC,7,5,NA,2,NA,NA
691,female,36,PityAD,5,7,4,NA,NA,NA
692,male,32,Baseline,6,6,NA,NA,NA,NA
693,female,29,PityAD,6,7,3,NA,NA,NA
694,female,28,EnvyC,3,4,NA,NA,NA,7
695,male,22,EnvyC,3,6,NA,NA,NA,5
696,female,28,PityC,5,7,NA,2,NA,NA
697,female,29,EnvyAD,6,6,NA,NA,7,NA
698,female,31,EnvyAD,6,5,NA,NA,4,NA
699,female,37,PityC,4,6,NA,2,NA,NA
700,female,48,Baseline,5,6,NA,NA,NA,NA
701,male,46,PityAD,7,5,3,NA,NA,NA
702,male,30,Baseline,7,5,NA,NA,NA,NA
703,female,40,PityAD,7,5,5,NA,NA,NA
704,female,33,EnvyC,5,4,NA,NA,NA,5
705,female,36,PityAD,5,6,3,NA,NA,NA
706,female,42,EnvyAD,6,6,NA,NA,7,NA
707,male,47,Baseline,5,6,NA,NA,NA,NA
708,female,35,EnvyAD,7,6,NA,NA,5,NA
709,male,26,EnvyC,5,7,NA,NA,NA,3
710,female,35,PityC,6,7,NA,3,NA,NA
711,female,23,PityAD,5,7,3,NA,NA,NA
712,male,48,PityC,7,6,NA,5,NA,NA
713,male,33,EnvyAD,4,5,NA,NA,5,NA
714,male,44,PityC,5,7,NA,2,NA,NA
715,female,34,Baseline,5,6,NA,NA,NA,NA
716,female,46,EnvyC,7,5,NA,NA,NA,1
717,female,25,EnvyAD,5,6,NA,NA,4,NA
718,female,39,Baseline,7,6,NA,NA,NA,NA
719,female,47,EnvyC,6,7,NA,NA,NA,5
720,male,39,PityAD,7,5,3,NA,NA,NA
721,female,28,PityC,5,6,NA,3,NA,NA
722,female,67,EnvyAD,5,7,NA,NA,5,NA
723,female,33,Baseline,6,5,NA,NA,NA,NA
724,female,33,PityC,6,5,NA,3,NA,NA
725,male,27,PityAD,7,6,3,NA,NA,NA
726,male,55,EnvyC,7,5,NA,NA,NA,3
727,female,41,PityAD,5,5,6,NA,NA,NA
728,female,33,EnvyAD,5,6,NA,NA,3,NA
729,female,42,PityC,6,7,NA,2,NA,NA
730,female,25,Baseline,3,5,NA,NA,NA,NA
731,female,47,EnvyC,7,6,NA,NA,NA,1
732,female,27,PityAD,7,7,7,NA,NA,NA
733,male,32,EnvyC,7,7,NA,NA,NA,7
734,male,44,PityC,4,6,NA,2,NA,NA
735,female,26,Baseline,5,5,NA,NA,NA,NA
736,female,33,EnvyAD,6,4,NA,NA,3,NA
737,female,25,Baseline,4,5,NA,NA,NA,NA
738,female,34,EnvyAD,7,6,NA,NA,5,NA
739,female,24,PityC,6,6,NA,4,NA,NA
740,female,31,PityAD,7,7,7,NA,NA,NA
741,female,22,EnvyC,5,6,NA,NA,NA,5
742,female,44,PityAD,5,5,5,NA,NA,NA
743,female,44,EnvyAD,7,3,NA,NA,2,NA
744,female,21,Baseline,7,5,NA,NA,NA,NA
745,male,28,PityC,7,6,NA,4,NA,NA
746,female,33,EnvyC,3,6,NA,NA,NA,5
747,male,45,PityC,4,6,NA,2,NA,NA
748,female,29,EnvyC,3,7,NA,NA,NA,5
749,female,25,PityAD,7,6,4,NA,NA,NA
750,male,21,Baseline,5,6,NA,NA,NA,NA
751,female,28,EnvyAD,4,7,NA,NA,5,NA
752,female,35,EnvyAD,5,7,NA,NA,7,NA
753,male,27,PityAD,3,7,2,NA,NA,NA
754,female,29,EnvyC,3,7,NA,NA,NA,6
755,female,43,Baseline,7,6,NA,NA,NA,NA
756,female,21,Baseline,6,4,NA,NA,NA,NA
757,female,27,PityC,3,6,NA,3,NA,NA
758,male,28,EnvyAD,5,6,NA,NA,3,NA
759,female,30,EnvyC,6,4,NA,NA,NA,2
760,female,34,PityC,3,6,NA,2,NA,NA
761,female,22,PityAD,3,6,2,NA,NA,NA
762,male,70,EnvyAD,5,4,NA,NA,4,NA
763,female,20,PityC,3,7,NA,3,NA,NA
764,male,44,EnvyC,5,7,NA,NA,NA,2
765,female,53,Baseline,6,5,NA,NA,NA,NA
766,male,43,PityAD,5,7,5,NA,NA,NA
767,female,29,PityC,6,3,NA,3,NA,NA
768,male,33,Baseline,7,7,NA,NA,NA,NA
769,male,32,PityAD,6,3,5,NA,NA,NA
770,female,21,EnvyC,6,6,NA,NA,NA,6
771,male,29,EnvyAD,2,6,NA,NA,2,NA
772,female,23,Baseline,6,6,NA,NA,NA,NA
773,female,34,PityC,5,7,NA,2,NA,NA
774,female,21,EnvyAD,5,6,NA,NA,3,NA
775,female,36,EnvyC,6,6,NA,NA,NA,5
776,female,50,PityC,7,6,NA,2,NA,NA
777,male,47,PityAD,5,7,3,NA,NA,NA
778,female,26,PityAD,6,7,5,NA,NA,NA
779,male,58,EnvyC,5,7,NA,NA,NA,1
780,female,60,Baseline,7,4,NA,NA,NA,NA
781,female,32,EnvyAD,3,6,NA,NA,5,NA
782,female,22,EnvyC,5,5,NA,NA,NA,2
783,female,27,EnvyAD,3,7,NA,NA,5,NA
784,female,28,PityAD,6,6,6,NA,NA,NA
785,female,42,Baseline,3,6,NA,NA,NA,NA
786,female,25,EnvyC,7,6,NA,NA,NA,2
787,female,34,PityC,6,7,NA,2,NA,NA
788,male,NA,PityAD,6,5,3,NA,NA,NA
789,female,45,Baseline,5,6,NA,NA,NA,NA
790,female,29,EnvyAD,6,5,NA,NA,5,NA
791,male,66,PityC,5,6,NA,2,NA,NA
792,prefer not to answer,35,EnvyAD,7,6,NA,NA,6,NA
793,female,44,PityAD,7,7,7,NA,NA,NA
794,female,26,Baseline,3,7,NA,NA,NA,NA
795,male,25,EnvyC,6,4,NA,NA,NA,6
796,male,42,PityC,6,7,NA,1,NA,NA
797,male,43,Baseline,6,5,NA,NA,NA,NA
798,female,46,EnvyC,3,6,NA,NA,NA,3
799,female,29,PityC,5,6,NA,3,NA,NA
